,Manufacturer,Model,Year,Kilometers_Driven,Fuel_Type,Owner_Type,Mileage,Engine,Power,Price
44,Hyundai,Hyundai Elantra 2.0,8,46374,Petrol,First,14.6,1999.0,149.92,885000.0
45,Toyota,Toyota Corolla Altis,6,52001,Petrol,First,14.2,1798.0,138.03,1011000.0
46,Hyundai,Hyundai Elantra CRDi,14,58005,Diesel,Second,14.0,1991.0,112.2,425000.0
47,Toyota,Toyota Innova Crysta,10,70704,Petrol,First,11.2,2694.0,163.7,1095000.0
48,Hyundai,Hyundai Xcent 1.1,8,75000,Diesel,First,24.0,1120.0,71.0,385000.0
49,Mahindra,Mahindra Thar CRDe,10,75800,Diesel,Second,16.5,2498.0,105.0,550000.0
50,Audi,Audi A4 2.0,7,13648,Diesel,First,17.1,1968.0,174.33,2143000.0
51,Maruti,Maruti Swift LDI,8,52000,Diesel,First,22.0,1248.0,74.0,425000.0
52,Maruti,Maruti Swift Ldi,8,53000,Diesel,First,17.0,1248.0,75.0,330000.0
53,Maruti,Maruti Swift VDI,9,65650,Diesel,First,28.0,1248.0,74.0,385000.0
54,Hyundai,Hyundai Grand i10,7,54000,Petrol,Third,18.0,1197.0,82.0,360000.0
55,Volkswagen,Volkswagen Vento 2013-2015,7,39000,Petrol,First,15.0,1598.0,103.2,399000.0
56,Renault,Renault KWID RXT,5,16542,Petrol,First,25.1,799.0,53.3,330000.0
57,Hyundai,Hyundai i10 Asta,12,32000,Petrol,First,20.3,1197.0,78.9,206999.99999999997
58,Nissan,Nissan X-Trail SLX,12,121812,Diesel,First,13.2,1995.0,147.6,775000.0
59,Maruti,Maruti Zen Estilo,12,39300,Petrol,First,18.0,998.0,67.1,225000.0
60,Toyota,Toyota Innova Crysta,5,22000,Diesel,First,13.6,2393.0,147.8,1650000.0
61,Ford,Ford Figo Diesel,12,72000,Diesel,First,20.0,1399.0,68.0,275000.0
62,Mercedes-Benz,Mercedes-Benz New C-Class,7,58000,Petrol,First,11.7,1796.0,186.0,2670000.0
63,Mercedes-Benz,Mercedes-Benz New C-Class,11,65000,Diesel,Second,15.0,2148.0,170.0,1000000.0
64,Tata,Tata Indica V2,6,178000,Diesel,First,25.0,1396.0,69.0,250000.0
65,Audi,Audi A4 2.0,10,65664,Diesel,First,16.5,1968.0,140.0,1350000.0
66,Honda,Honda City ZX,15,63000,Petrol,Second,16.0,1497.0,78.0,185000.0
67,Mercedes-Benz,Mercedes-Benz C-Class Progressive,3,15369,Diesel,First,0.0,1950.0,194.0,3567000.0
68,Maruti,Maruti Ertiga SHVS,6,63000,Diesel,First,24.5,1248.0,88.5,815000.0
69,Hyundai,Hyundai Creta 1.4,4,13000,Diesel,First,22.0,1396.0,88.7,1050000.0
70,Porsche,Porsche Cayenne 2009-2014,14,73000,Petrol,First,8.0,4806.0,500.0,1450000.0
71,Mahindra,Mahindra XUV500 W8,7,55729,Diesel,First,15.0,2179.0,140.0,965000.0
72,Hyundai,Hyundai i10 Sportz,10,45178,Petrol,First,16.9,1197.0,78.9,348000.0
73,Nissan,Nissan Terrano XV,7,56066,Diesel,First,19.6,1461.0,108.5,692000.0
74,Honda,Honda Brio VX,6,37300,Petrol,Second,16.0,1198.0,86.8,646000.0
75,Audi,Audi A6 2.0,8,56000,Diesel,Second,18.5,1968.0,187.74,2950000.0
76,Ford,Ford Fiesta 1.4,14,111111,Diesel,First,17.0,1399.0,113.2722029281571,200000.0
77,Toyota,Toyota Innova 2.0,16,230000,Petrol,Third,12.0,1998.0,132.0,450000.0
78,Toyota,Toyota Innova 2.5,10,104000,Diesel,First,12.0,2494.0,102.0,1175000.0
79,Hyundai,Hyundai Santro Xing,17,87591,Petrol,First,0.0,1086.0,113.2722029281571,130000.0
80,Maruti,Maruti Swift VDI,10,95100,Diesel,First,22.0,1248.0,74.0,375000.0
81,Tata,Tata Zest Revotron,5,70000,Petrol,First,17.5,1193.0,88.7,450000.0
82,Honda,Honda Amaze SX,6,54944,Petrol,First,18.0,1198.0,86.7,482000.0
83,Ford,Ford Figo Diesel,10,70337,Diesel,First,20.0,1399.0,68.0,280000.0
84,Maruti,Maruti Ritz VDi,9,99638,Diesel,First,23.0,1248.0,73.94,311000.0
85,Honda,Honda City i,13,52000,Petrol,First,17.0,1497.0,117.3,325000.0
86,BMW,BMW 5 Series,11,75000,Diesel,Second,16.7,1995.0,218.0,1390000.0
87,Hyundai,Hyundai i10 Sportz,13,95980,Petrol,First,20.3,1197.0,78.9,225000.0
88,Hyundai,Hyundai Grand i10,6,16000,Petrol,First,18.0,1197.0,82.0,575000.0
89,Hyundai,Hyundai Santro Xing,15,73745,Petrol,First,17.0,1086.0,113.2722029281571,210000.0
90,Honda,Honda Amaze SX,6,18949,Petrol,First,17.0,1198.0,86.7,500000.0
91,Toyota,Toyota Fortuner 4x2,8,107000,Diesel,First,13.0,2982.0,168.5,1650000.0
92,Audi,Audi A6 2011-2015,4,48367,Diesel,First,17.6,1968.0,174.33,3958000.0
93,Ford,Ford Ecosport 1.5,9,57000,Diesel,First,22.0,1498.0,89.84,550000.0
94,Mahindra,Mahindra XUV500 W8,8,58000,Diesel,First,15.0,2179.0,140.0,810000.0
95,Honda,Honda Amaze SX,7,30000,Diesel,First,25.0,1498.0,98.6,350000.0
96,Volkswagen,Volkswagen Polo Diesel,9,34212,Diesel,First,22.0,1199.0,73.9,279000.0
97,Hyundai,Hyundai Verna Transform,12,70002,Diesel,First,16.0,1493.0,110.0,345000.0
98,Maruti,Maruti Wagon R,6,62000,Petrol,First,18.0,998.0,67.1,445000.0
99,Volkswagen,Volkswagen Polo Petrol,12,62001,Petrol,First,15.2,1598.0,103.5,265000.0
100,Hyundai,Hyundai i20 1.4,11,78958,Diesel,Second,23.0,1396.0,90.0,380000.0
101,Hyundai,Hyundai i20 Asta,8,30180,Petrol,First,18.0,1197.0,82.85,465000.00000000006
102,Datsun,Datsun GO Plus,5,32851,Petrol,First,19.8,1198.0,67.0,395000.0
103,Audi,Audi A4 3.0,12,30000,Diesel,First,14.9,2967.0,241.4,980000.0000000001
104,Hyundai,Hyundai i20 2015-2017,13,66000,Petrol,Second,17.0,1197.0,80.0,270000.0
105,Maruti,Maruti Omni 5,12,93850,Petrol,First,14.0,796.0,35.0,241000.0
106,Toyota,Toyota Etios Liva,8,53000,Petrol,First,17.7,1197.0,78.9,390000.0
107,Jaguar,Jaguar XF 3.0,11,78000,Diesel,Second,14.7,2993.0,270.9,2400000.0
108,Mahindra,Mahindra XUV500 W8,10,65000,Diesel,Second,16.0,2179.0,140.0,575000.0
109,Hyundai,Hyundai Verna 1.6,8,40000,Diesel,First,22.3,1582.0,126.32,525000.0
110,Toyota,Toyota Innova Crysta,5,30000,Diesel,First,11.3,2755.0,171.5,1925000.0
111,Maruti,Maruti Eeco 5,5,38053,Petrol,First,15.0,1196.0,73.0,391000.0
112,Tata,Tata Nano Twist,8,25500,Petrol,First,25.0,624.0,37.5,215000.0
113,BMW,BMW 3 Series,7,56087,Diesel,First,22.6,1995.0,190.0,2075000.0
114,Honda,Honda Civic 2006-2010,12,71088,Petrol,First,13.0,1799.0,130.0,335000.0
115,Toyota,Toyota Innova 2.5,8,55000,Diesel,First,12.9,2494.0,100.6,1111000.0
116,Volvo,Volvo V40 Cross,8,32700,Diesel,First,23.0,1984.0,150.0,2000000.0
117,Nissan,Nissan Micra XV,6,39882,Petrol,First,19.1,1198.0,75.94,655000.0
118,BMW,BMW 5 Series,13,128000,Petrol,First,10.0,2497.0,215.0,700000.0
119,Maruti,Maruti Vitara Brezza,6,55000,Diesel,First,24.0,1248.0,88.5,750000.0
120,Hyundai,Hyundai Santro Xing,17,102000,Petrol,Second,17.0,1086.0,113.2722029281571,85000.0
121,Mercedes-Benz,Mercedes-Benz B Class,8,53753,Diesel,Second,15.0,2143.0,107.3,1675000.0
122,Hyundai,Hyundai Verna CRDi,4,10250,Diesel,First,22.0,1582.0,126.2,1095000.0
123,Maruti,Maruti Wagon R,11,43874,Petrol,First,18.0,998.0,67.1,245000.00000000003
124,Tata,Tata Nano XTA,5,32684,Petrol,First,21.0,624.0,37.48,323000.0
125,Mahindra,Mahindra Scorpio VLX,8,42000,Diesel,First,12.0,2179.0,120.0,775000.0
126,Mercedes-Benz,Mercedes-Benz New C-Class,13,28352,Petrol,First,11.0,1796.0,178.0,935000.0
127,Maruti,Maruti Wagon R,9,89900,CNG,First,37.24,998.0,58.16,325000.0
128,Honda,Honda CR-V 2.4,15,47700,Petrol,Second,10.0,2354.0,152.0,525000.0
129,Volkswagen,Volkswagen Vento 1.5,7,55000,Diesel,First,21.2,1498.0,103.2,725000.0
130,Maruti,Maruti Ciaz VXi,5,44285,Petrol,First,20.7,1373.0,91.1,747000.0
131,Mahindra,Mahindra XUV500 AT,6,54000,Diesel,First,16.0,2179.0,140.0,1325000.0
132,Maruti,Maruti Ritz VXI,6,30232,Petrol,First,21.0,1197.0,85.8,581000.0
133,Maruti,Maruti Alto K10,8,88500,Petrol,First,24.0,998.0,67.1,260000.0
134,Mercedes-Benz,Mercedes-Benz SLC 43,5,13372,Petrol,First,19.0,2996.0,362.07,5400000.0
135,Hyundai,Hyundai Verna VTVT,3,12645,Petrol,First,17.0,1591.0,121.3,1150000.0
136,Maruti,Maruti Alto LXi,12,94385,Petrol,Second,19.0,796.0,46.3,160000.0
137,BMW,BMW 1 Series,7,31821,Diesel,First,20.5,1995.0,143.0,1722000.0
138,Honda,Honda Jazz 1.2,7,12000,Petrol,First,19.0,1199.0,88.7,600000.0
139,Honda,Honda Civic 2006-2010,10,88578,Petrol,First,13.0,1799.0,130.0,395000.0
140,Mercedes-Benz,Mercedes-Benz New C-Class,8,44965,Diesel,First,19.2,2143.0,170.0,1795000.0
141,Honda,Honda Amaze SX,8,45044,Diesel,First,25.0,1498.0,98.6,370000.0
142,Maruti,Maruti Swift VVT,6,34204,Petrol,First,22.0,1197.0,81.8,543000.0
143,Hyundai,Hyundai Santro Xing,14,80759,Petrol,Third,17.0,1086.0,113.2722029281571,167000.0
144,Toyota,Toyota Fortuner 3.0,10,91235,Diesel,First,11.0,2982.0,171.0,1349000.0
145,Chevrolet,Chevrolet Beat LT,8,38800,Petrol,First,18.0,1199.0,76.8,285000.0
146,Skoda,Skoda Rapid 1.5,9,83000,Diesel,First,21.1,1498.0,103.52,475000.0
147,Maruti,Maruti Ciaz 1.4,4,41283,Petrol,First,20.7,1373.0,91.1,990000.0
148,Audi,Audi RS5 Coupe,9,23000,Petrol,First,11.0,2894.0,444.0,3700000.0
149,BMW,BMW 3 Series,8,48000,Diesel,First,21.7,1995.0,190.0,2650000.0
150,Audi,Audi A4 2.0,7,48214,Diesel,First,17.1,1968.0,174.33,2332000.0
151,Maruti,Maruti Swift VDI,6,35000,Diesel,First,22.0,1248.0,74.0,625000.0
152,Mercedes-Benz,Mercedes-Benz S Class,12,35277,Petrol,First,7.8,5461.0,362.9,3000000.0
153,Skoda,Skoda Rapid 1.5,6,54620,Diesel,First,21.6,1498.0,103.52,986000.0
154,Skoda,Skoda Superb Elegance,10,136997,Diesel,First,17.0,1968.0,138.1,850000.0
155,Hyundai,Hyundai EON Magna,3,14322,Petrol,First,21.0,814.0,55.2,423000.00000000006
156,Volkswagen,Volkswagen Polo Diesel,10,65634,Diesel,First,22.0,1199.0,73.9,350000.0
157,Datsun,Datsun GO NXT,6,6000,Petrol,First,20.6,1198.0,67.06,250000.0
158,Honda,Honda Brio S,9,33280,Petrol,First,19.0,1198.0,86.8,239000.0
159,Mercedes-Benz,Mercedes-Benz B Class,9,29000,Petrol,First,14.0,1595.0,120.7,1125000.0
160,Honda,Honda City i,7,42831,Diesel,First,26.0,1498.0,98.6,711000.0
161,Toyota,Toyota Innova 2.5,6,90000,Diesel,First,12.9,2494.0,100.6,1090000.0
162,Maruti,Maruti Swift VXI,5,24005,Petrol,First,20.0,1197.0,81.8,620000.0
163,Mahindra,Mahindra XUV500 W8,10,32792,Diesel,First,15.0,2179.0,140.0,790000.0
164,Ford,Ford Ecosport 1.5,8,147898,Diesel,First,22.0,1498.0,89.84,442000.0
165,Toyota,Toyota Fortuner 4x2,10,131765,Diesel,First,13.0,2982.0,168.5,1350000.0
166,Volkswagen,Volkswagen Vento 1.5,9,65000,Diesel,First,21.0,1498.0,108.5,625000.0
167,Ford,Ford Figo Diesel,12,66123,Diesel,Second,20.0,1399.0,68.0,210000.0
168,BMW,BMW X5 xDrive,7,41000,Diesel,First,15.0,2993.0,258.0,4500000.0
169,Mercedes-Benz,Mercedes-Benz New C-Class,5,23550,Diesel,First,19.2,2143.0,167.62,3365999.9999999995
170,Honda,Honda Brio V,10,45000,Petrol,Second,19.0,1198.0,86.8,365000.0
171,Hyundai,Hyundai i10 Magna,9,60000,Petrol,First,20.3,1197.0,78.9,275000.0
172,Mercedes-Benz,Mercedes-Benz GLC 220,6,44414,Diesel,First,17.0,2143.0,170.0,4250000.0
173,Hyundai,Hyundai Grand i10,3,1000,Petrol,First,18.0,1197.0,81.86,650000.0
174,Audi,Audi A6 2011-2015,10,62500,Diesel,Second,17.6,1968.0,174.33,1900000.0
175,Volkswagen,Volkswagen Vento Petrol,9,21000,Petrol,Second,14.0,1598.0,103.6,445000.0
176,Mini,Mini Countryman Cooper,5,8525,Diesel,Second,16.0,1998.0,112.0,2300000.0
177,Hyundai,Hyundai i20 Asta,8,29000,Diesel,First,22.5,1396.0,88.73,835000.0
178,Audi,Audi A6 2011-2015,8,40000,Diesel,First,17.6,1968.0,174.33,2295000.0
179,Chevrolet,Chevrolet Beat Diesel,10,88000,Diesel,First,25.4,936.0,57.6,150000.0
180,Skoda,Skoda Superb Elegance,10,53537,Petrol,First,13.0,1798.0,157.75,689000.0
181,Ford,Ford Fiesta 1.4,16,216000,Diesel,Second,17.0,1399.0,68.0,145000.0
182,BMW,BMW 5 Series,8,51000,Diesel,First,22.4,1995.0,190.0,3350000.0
183,Chevrolet,Chevrolet Optra Magnum,15,118500,Petrol,First,12.0,1598.0,102.5,125000.0
184,Volkswagen,Volkswagen Polo Diesel,10,63000,Diesel,First,22.0,1199.0,73.9,420000.0
185,Renault,Renault Lodgy 110PS,7,25000,Diesel,First,19.9,1461.0,108.5,675000.0
186,Mercedes-Benz,Mercedes-Benz E-Class E250,8,37382,Diesel,First,13.0,2143.0,201.1,3200000.0
187,Maruti,Maruti Baleno Alpha,5,24773,Petrol,First,21.0,1197.0,83.1,750000.0
188,Hyundai,Hyundai Verna 1.6,10,62000,Diesel,First,22.3,1582.0,126.32,459999.99999999994
189,Hyundai,Hyundai i10 Magna,5,52340,Petrol,First,19.8,1086.0,68.05,404000.0
190,Mahindra,Mahindra Scorpio 1.99,6,56739,Diesel,First,15.0,1997.0,120.0,1031000.0
191,Land,Land Rover Range,4,36091,Diesel,First,12.0,2179.0,187.7,5576000.0
192,Ford,Ford Figo Diesel,12,120000,Diesel,First,20.0,1399.0,68.0,260000.0
193,Maruti,Maruti Ertiga ZDI,6,33000,Diesel,First,25.4,1248.0,88.5,850000.0
194,Honda,Honda City 1.5,15,60006,Petrol,First,0.0,1621.5059354622972,113.2722029281571,295000.0
195,Honda,Honda Amaze S,8,52000,Diesel,First,25.0,1498.0,98.6,350000.0
196,Hyundai,Hyundai i10 Magna,7,43571,Petrol,First,20.3,1197.0,78.9,355000.0
197,Honda,Honda Amaze S,9,50000,Diesel,First,25.0,1498.0,98.6,325000.0
198,Skoda,Skoda Laura Ambiente,14,113000,Diesel,First,17.0,1896.0,106.0,450000.0
199,Renault,Renault Duster 85PS,8,90000,Diesel,First,19.8,1461.0,83.8,535000.0
200,Mahindra,Mahindra NuvoSport N6,5,29000,Diesel,Second,17.4,1493.0,100.0,650000.0
201,Maruti,Maruti Vitara Brezza,6,20000,Diesel,First,24.0,1248.0,88.5,900000.0
202,Hyundai,Hyundai i20 Asta,6,61012,Petrol,First,18.0,1197.0,81.83,600000.0
203,Skoda,Skoda Fabia 1.4,13,87459,Petrol,First,14.0,1390.0,85.0,275000.0
204,Tata,Tata Indigo eCS,12,70500,Petrol,First,15.6,1193.0,64.1,150000.0
205,Audi,Audi Q3 2012-2015,7,64103,Diesel,First,15.7,1968.0,174.33,1989999.9999999998
206,Skoda,Skoda Octavia Elegance,8,76000,Petrol,First,14.0,1798.0,177.5,1000000.0
207,Toyota,Toyota Etios Liva,8,104000,Diesel,First,23.5,1364.0,67.06,300000.0
208,Maruti,Maruti Swift 1.3,12,42001,Petrol,First,16.0,1621.5059354622972,113.2722029281571,211000.0
209,Mercedes-Benz,Mercedes-Benz B Class,8,37245,Petrol,First,14.0,1595.0,120.7,1196000.0
210,Honda,Honda Amaze S,9,45000,Diesel,First,27.0,1498.0,98.6,325000.0
211,Hyundai,Hyundai Verna 1.6,10,117837,Diesel,Second,22.3,1582.0,126.32,475000.0
212,Renault,Renault Duster 85PS,8,30000,Diesel,First,20.4,1461.0,83.8,595000.0
213,Hyundai,Hyundai Creta 1.6,7,27057,Petrol,Second,15.2,1591.0,121.3,815000.0
214,Maruti,Maruti Wagon R,6,8500,Petrol,First,20.5,998.0,67.0,422000.0
215,Mercedes-Benz,Mercedes-Benz New C-Class,12,30500,Petrol,First,11.7,1796.0,186.0,1050000.0
216,Audi,Audi A8 L,10,56000,Diesel,First,11.0,2967.0,246.7,4500000.0
217,Hyundai,Hyundai i10 Magna,10,44000,Petrol,Second,19.8,1086.0,68.05,290000.0
218,Skoda,Skoda Rapid 1.6,5,10500,Petrol,First,14.0,1598.0,103.52,890000.0
219,Skoda,Skoda Superb Style,5,26000,Petrol,First,14.6,1798.0,177.46,2600000.0
220,Hyundai,Hyundai i20 Active,4,25166,Petrol,First,17.1,1197.0,81.86,822000.0000000001
221,Honda,Honda Amaze VX,8,64000,Diesel,Second,25.0,1498.0,98.6,350000.0
222,Maruti,Maruti Wagon R,18,61000,Petrol,Second,18.0,998.0,67.1,125000.0
223,Mahindra,Mahindra Verito 1.5,9,107000,Diesel,First,21.0,1461.0,65.0,370000.0
224,Mercedes-Benz,Mercedes-Benz New C-Class,4,29161,Diesel,First,19.2,2143.0,167.62,3940999.9999999995
225,Maruti,Maruti Wagon R,9,32000,Petrol,First,22.0,998.0,67.04,265000.0
226,Nissan,Nissan Terrano XV,7,46173,Diesel,Second,19.0,1461.0,108.5,892000.0
227,Maruti,Maruti Swift VDI,9,47000,Diesel,First,17.0,1248.0,113.2722029281571,409999.99999999994
228,Mini,Mini Cooper Convertible,5,26327,Petrol,First,16.8,1998.0,189.08,3567000.0
229,Ford,Ford Figo Diesel,7,70436,Diesel,First,0.0,1498.0,99.0,360000.0
230,Tata,Tata Indica V2,15,200000,Diesel,Second,17.0,1396.0,53.5,85000.0
231,Chevrolet,Chevrolet Beat LT,6,60813,Petrol,Second,18.0,1199.0,76.8,332000.0
232,Volkswagen,Volkswagen Polo Diesel,10,45000,Diesel,First,22.0,1199.0,73.9,360000.0
233,Maruti,Maruti Swift ZDi,6,64000,Diesel,First,22.0,1248.0,74.0,680000.0
234,Ford,Ford Figo Diesel,10,41284,Diesel,First,20.0,1399.0,68.05,250000.0
235,Toyota,Toyota Innova Crysta,3,14165,Diesel,First,11.3,2755.0,171.5,1964000.0
236,Hyundai,Hyundai Santa Fe,11,67000,Diesel,Second,11.7,2199.0,194.3,700000.0
237,Honda,Honda City i-VTEC,11,32572,Petrol,First,17.0,1497.0,117.3,387000.0
238,Hyundai,Hyundai i20 1.2,4,14960,Petrol,First,18.0,1197.0,81.83,627000.0
239,Mercedes-Benz,Mercedes-Benz New C-Class,7,55980,Diesel,First,19.2,2143.0,167.62,1812000.0
240,Chevrolet,Chevrolet Beat Diesel,9,74000,Diesel,First,25.4,936.0,57.6,265000.0
241,Hyundai,Hyundai i20 Sportz,7,56847,Diesel,First,22.5,1396.0,88.73,720000.0
242,Toyota,Toyota Innova 2.5,7,121374,Diesel,First,12.9,2494.0,100.6,1430000.0
243,Maruti,Maruti Ertiga VDI,9,52000,Diesel,First,20.7,1248.0,88.76,690000.0
244,Toyota,Toyota Innova 2.5,8,118000,Diesel,First,12.0,2494.0,102.0,1075000.0
245,Hyundai,Hyundai Santro Xing,15,72000,Petrol,Third,17.0,1086.0,113.2722029281571,95000.0
246,Honda,Honda City i,6,33915,Petrol,First,17.0,1497.0,117.3,809000.0
247,BMW,BMW X1 sDrive20d,8,82002,Diesel,First,17.0,1995.0,184.0,1850000.0
248,Hyundai,Hyundai Grand i10,5,33000,Diesel,First,24.0,1120.0,70.0,475000.0
249,Maruti,Maruti Ciaz 1.3,6,34000,Diesel,First,28.0,1248.0,88.5,844999.9999999999
250,Skoda,Skoda Rapid Leisure,10,55000,Diesel,First,20.0,1598.0,103.6,350000.0
251,Hyundai,Hyundai Accent CRDi,16,160538,Diesel,First,13.0,1493.0,82.0,180000.0
252,Volkswagen,Volkswagen Polo GT,8,60000,Diesel,Second,19.9,1498.0,103.6,370000.0
253,Honda,Honda Jazz 1.2,5,49575,Petrol,First,18.0,1199.0,88.7,717000.0
254,Hyundai,Hyundai i10 Era,12,83000,Petrol,First,19.8,1086.0,68.05,175000.0
255,Hyundai,Hyundai Tucson 2.0,4,51346,Diesel,First,16.3,1995.0,183.0,2199000.0
256,Toyota,Toyota Innova Crysta,5,43000,Diesel,First,13.6,2393.0,147.8,1864999.9999999998
257,Maruti,Maruti Omni MPI,11,35000,Petrol,Third,19.0,796.0,35.0,185000.0
258,Maruti,Maruti Swift VXI,5,27872,Petrol,Second,20.0,1197.0,81.8,595000.0
259,Hyundai,Hyundai Grand i10,8,16514,Petrol,First,18.0,1197.0,82.0,375000.0
260,Maruti,Maruti Swift VDI,10,120000,Diesel,First,22.0,1248.0,74.0,375000.0
261,Hyundai,Hyundai Verna CRDi,14,143275,Diesel,First,22.0,1582.0,126.2,260000.0
262,Hyundai,Hyundai Santro Xing,16,99000,Petrol,First,0.0,1086.0,113.2722029281571,175000.0
263,Hyundai,Hyundai i20 1.2,12,52000,Petrol,First,17.0,1197.0,80.0,280000.0
264,Mercedes-Benz,Mercedes-Benz GLE 350d,5,29819,Diesel,First,11.5,2987.0,254.79,6129000.0
265,Mercedes-Benz,Mercedes-Benz New C-Class,8,57000,Diesel,Second,15.0,2148.0,170.0,1800000.0
266,Maruti,Maruti Ritz ZDi,8,88500,Diesel,First,23.0,1248.0,73.94,434999.99999999994
267,Hyundai,Hyundai Creta 1.6,6,28000,Diesel,First,19.6,1582.0,126.2,1375000.0
268,Maruti,Maruti A-Star Vxi,12,67000,Petrol,First,19.0,998.0,66.1,200000.0
269,Renault,Renault Duster 110PS,6,26000,Diesel,First,19.6,1461.0,108.45,1000000.0
270,Fiat,Fiat Grande Punto,12,120000,Diesel,First,17.0,1248.0,76.0,165000.0
271,BMW,BMW X3 xDrive30d,5,51982,Diesel,First,16.5,2993.0,258.0,4577000.0
272,Hyundai,Hyundai i10 Sportz,12,36000,Petrol,Second,20.3,1197.0,78.9,325000.0
273,Toyota,Toyota Innova 2.5,6,47000,Diesel,First,12.0,2494.0,102.0,1280000.0
274,Maruti,Maruti Zen VXI,20,60000,Petrol,Third,17.0,993.0,60.0,55000.00000000001
275,Maruti,Maruti Swift VDI,4,31025,Diesel,First,28.0,1248.0,74.0,715000.0
276,Mahindra,Mahindra Scorpio VLX,9,105000,Diesel,Second,12.0,2179.0,120.0,700000.0
