,Manufacturer,Model,Year,Kilometers_Driven,Fuel_Type,Owner_Type,Mileage,Engine,Power,Price
19,Mercedes-Benz,Mercedes-Benz New C-Class,2014,78500,Diesel,First,14.84,2143.0,167.62,2800000.0
20,BMW,BMW 3 Series,2014,32982,Diesel,First,22.69,1995.0,190.0,1855000.0
21,Maruti,Maruti S Cross,2015,55392,Diesel,Second,23.65,1248.0,88.5,825000.0
22,Audi,Audi A6 2011-2015,2015,55985,Petrol,First,13.53,1984.0,177.01,2350000.0
23,Hyundai,Hyundai i20 1.2,2010,45807,Petrol,First,18.5,1197.0,80.0,187000.0
24,Volkswagen,Volkswagen Vento Petrol,2010,33000,Petrol,First,14.4,1598.0,103.6,285000.0
25,Honda,Honda City Corporate,2012,51920,Petrol,First,16.8,1497.0,116.3,425000.0
26,Nissan,Nissan Micra Diesel,2012,54000,Diesel,First,23.08,1461.0,63.1,425000.0
27,Maruti,Maruti Alto K10,2013,54000,Petrol,Second,20.92,998.0,67.1,275000.0
28,Honda,Honda WRV i-VTEC,2018,37430,Petrol,First,17.5,1199.0,88.7,990000.0
29,Toyota,Toyota Innova 2.5,2007,262000,Diesel,Fourth & Above,12.8,2494.0,102.0,400000.0
30,Renault,Renault Duster 110PS,2013,62000,Diesel,First,19.01,1461.0,108.45,775000.0
31,Toyota,Toyota Corolla Altis,2012,87615,Petrol,First,14.53,1798.0,138.1,675000.0
32,Mahindra,Mahindra Ssangyong Rexton,2013,72000,Diesel,Second,11.18,2696.0,184.0,1250000.0
33,Audi,Audi A6 2.7,2010,35000,Diesel,First,12.4,2698.0,179.5,1150000.0
34,Volkswagen,Volkswagen Vento 1.6,2014,55431,Petrol,Second,16.09,1598.0,103.5,698000.0
35,Maruti,Maruti Wagon R,2009,83816,Petrol,Second,14.0,1061.0,64.0,185000.0
36,Maruti,Maruti Vitara Brezza,2018,50075,Diesel,First,24.3,1248.0,88.5,863000.0000000001
37,Mahindra,Mahindra KUV 100,2017,52000,Petrol,First,18.15,1198.0,82.0,484999.99999999994
38,Mercedes-Benz,Mercedes-Benz M-Class ML,2013,85000,Diesel,First,11.74,2987.0,254.8,2800000.0
39,Volkswagen,Volkswagen Polo Diesel,2013,62000,Diesel,First,22.07,1199.0,73.9,500000.0
40,Maruti,Maruti Alto LXi,2008,90000,Petrol,Second,19.7,796.0,46.3,125000.0
41,Tata,Tata Nano LX,2014,19698,Petrol,First,25.4,624.0,37.5,153000.0
42,Mahindra,Mahindra KUV 100,2017,22033,Diesel,First,25.32,1198.0,77.0,558000.0
43,Hyundai,Hyundai i20 Magna,2014,35487,Petrol,First,18.5,1197.0,82.9,474000.0
44,Hyundai,Hyundai Elantra 2.0,2014,46374,Petrol,First,14.62,1999.0,149.92,885000.0
45,Toyota,Toyota Corolla Altis,2016,52001,Petrol,First,14.28,1798.0,138.03,1011000.0
46,Hyundai,Hyundai Elantra CRDi,2008,58005,Diesel,Second,14.9,1991.0,112.2,425000.0
47,Toyota,Toyota Innova Crysta,2012,70704,Petrol,First,11.25,2694.0,163.7,1095000.0
48,Hyundai,Hyundai Xcent 1.1,2014,75000,Diesel,First,24.4,1120.0,71.0,385000.0
49,Mahindra,Mahindra Thar CRDe,2012,75800,Diesel,Second,16.55,2498.0,105.0,550000.0
50,Audi,Audi A4 2.0,2015,13648,Diesel,First,17.11,1968.0,174.33,2143000.0
51,Maruti,Maruti Swift LDI,2014,52000,Diesel,First,22.9,1248.0,74.0,425000.0
52,Maruti,Maruti Swift Ldi,2014,53000,Diesel,First,17.8,1248.0,75.0,330000.0
53,Maruti,Maruti Swift VDI,2013,65650,Diesel,First,28.4,1248.0,74.0,385000.0
54,Hyundai,Hyundai Grand i10,2015,54000,Petrol,Third,18.9,1197.0,82.0,360000.0
55,Volkswagen,Volkswagen Vento 2013-2015,2015,39000,Petrol,First,15.04,1598.0,103.2,399000.0
56,Renault,Renault KWID RXT,2017,16542,Petrol,First,25.17,799.0,53.3,330000.0
57,Hyundai,Hyundai i10 Asta,2010,32000,Petrol,First,20.36,1197.0,78.9,206999.99999999997
58,Nissan,Nissan X-Trail SLX,2010,121812,Diesel,First,13.29,1995.0,147.6,775000.0
59,Maruti,Maruti Zen Estilo,2010,39300,Petrol,First,18.2,998.0,67.1,225000.0
60,Toyota,Toyota Innova Crysta,2017,22000,Diesel,First,13.68,2393.0,147.8,1650000.0
61,Ford,Ford Figo Diesel,2010,72000,Diesel,First,20.0,1399.0,68.0,275000.0
62,Mercedes-Benz,Mercedes-Benz New C-Class,2015,58000,Petrol,First,11.74,1796.0,186.0,2670000.0
63,Mercedes-Benz,Mercedes-Benz New C-Class,2011,65000,Diesel,Second,15.8,2148.0,170.0,1000000.0
64,Tata,Tata Indica V2,2016,178000,Diesel,First,25.0,1396.0,69.0,250000.0
65,Audi,Audi A4 2.0,2012,65664,Diesel,First,16.55,1968.0,140.0,1350000.0
66,Honda,Honda City ZX,2007,63000,Petrol,Second,16.4,1497.0,78.0,185000.0
67,Mercedes-Benz,Mercedes-Benz C-Class Progressive,2019,15369,Diesel,First,0.0,1950.0,194.0,3567000.0
68,Maruti,Maruti Ertiga SHVS,2016,63000,Diesel,First,24.52,1248.0,88.5,815000.0
69,Hyundai,Hyundai Creta 1.4,2018,13000,Diesel,First,22.1,1396.0,88.7,1050000.0
70,Porsche,Porsche Cayenne 2009-2014,2008,73000,Petrol,First,8.5,4806.0,500.0,1450000.0
71,Mahindra,Mahindra XUV500 W8,2015,55729,Diesel,First,15.1,2179.0,140.0,965000.0
72,Hyundai,Hyundai i10 Sportz,2012,45178,Petrol,First,16.95,1197.0,78.9,348000.0
73,Nissan,Nissan Terrano XV,2015,56066,Diesel,First,19.64,1461.0,108.5,692000.0
74,Honda,Honda Brio VX,2016,37300,Petrol,Second,16.5,1198.0,86.8,646000.0
75,Audi,Audi A6 2.0,2014,56000,Diesel,Second,18.53,1968.0,187.74,2950000.0
76,Ford,Ford Fiesta 1.4,2008,111111,Diesel,First,17.8,1399.0,113.25304969366827,200000.0
77,Toyota,Toyota Innova 2.0,2006,230000,Petrol,Third,12.4,1998.0,132.0,450000.0
78,Toyota,Toyota Innova 2.5,2012,104000,Diesel,First,12.8,2494.0,102.0,1175000.0
79,Hyundai,Hyundai Santro Xing,2005,87591,Petrol,First,0.0,1086.0,113.25304969366827,130000.0
80,Maruti,Maruti Swift VDI,2012,95100,Diesel,First,22.9,1248.0,74.0,375000.0
81,Tata,Tata Zest Revotron,2017,70000,Petrol,First,17.57,1193.0,88.7,450000.0
82,Honda,Honda Amaze SX,2016,54944,Petrol,First,18.0,1198.0,86.7,482000.0
83,Ford,Ford Figo Diesel,2012,70337,Diesel,First,20.0,1399.0,68.0,280000.0
84,Maruti,Maruti Ritz VDi,2013,99638,Diesel,First,23.2,1248.0,73.94,311000.0
85,Honda,Honda City i,2009,52000,Petrol,First,17.8,1497.0,117.3,325000.0
86,BMW,BMW 5 Series,2011,75000,Diesel,Second,16.73,1995.0,218.0,1390000.0
87,Hyundai,Hyundai i10 Sportz,2009,95980,Petrol,First,20.36,1197.0,78.9,225000.0
88,Hyundai,Hyundai Grand i10,2016,16000,Petrol,First,18.9,1197.0,82.0,575000.0
89,Hyundai,Hyundai Santro Xing,2007,73745,Petrol,First,17.0,1086.0,113.25304969366827,210000.0
90,Honda,Honda Amaze SX,2016,18949,Petrol,First,17.8,1198.0,86.7,500000.0
91,Toyota,Toyota Fortuner 4x2,2014,107000,Diesel,First,13.0,2982.0,168.5,1650000.0
92,Audi,Audi A6 2011-2015,2018,48367,Diesel,First,17.68,1968.0,174.33,3958000.0
93,Ford,Ford Ecosport 1.5,2013,57000,Diesel,First,22.7,1498.0,89.84,550000.0
94,Mahindra,Mahindra XUV500 W8,2014,58000,Diesel,First,15.1,2179.0,140.0,810000.0
95,Honda,Honda Amaze SX,2015,30000,Diesel,First,25.8,1498.0,98.6,350000.0
96,Volkswagen,Volkswagen Polo Diesel,2013,34212,Diesel,First,22.07,1199.0,73.9,279000.0
97,Hyundai,Hyundai Verna Transform,2010,70002,Diesel,First,16.2,1493.0,110.0,345000.0
98,Maruti,Maruti Wagon R,2016,62000,Petrol,First,18.9,998.0,67.1,445000.0
99,Volkswagen,Volkswagen Polo Petrol,2010,62001,Petrol,First,15.26,1598.0,103.5,265000.0
100,Hyundai,Hyundai i20 1.4,2011,78958,Diesel,Second,23.0,1396.0,90.0,380000.0
101,Hyundai,Hyundai i20 Asta,2014,30180,Petrol,First,18.5,1197.0,82.85,465000.00000000006
102,Datsun,Datsun GO Plus,2017,32851,Petrol,First,19.83,1198.0,67.0,395000.0
103,Audi,Audi A4 3.0,2010,30000,Diesel,First,14.94,2967.0,241.4,980000.0000000001
104,Hyundai,Hyundai i20 2015-2017,2009,66000,Petrol,Second,17.0,1197.0,80.0,270000.0
105,Maruti,Maruti Omni 5,2010,93850,Petrol,First,14.0,796.0,35.0,241000.0
106,Toyota,Toyota Etios Liva,2014,53000,Petrol,First,17.71,1197.0,78.9,390000.0
107,Jaguar,Jaguar XF 3.0,2011,78000,Diesel,Second,14.74,2993.0,270.9,2400000.0
108,Mahindra,Mahindra XUV500 W8,2012,65000,Diesel,Second,16.0,2179.0,140.0,575000.0
109,Hyundai,Hyundai Verna 1.6,2014,40000,Diesel,First,22.32,1582.0,126.32,525000.0
110,Toyota,Toyota Innova Crysta,2017,30000,Diesel,First,11.36,2755.0,171.5,1925000.0
111,Maruti,Maruti Eeco 5,2017,38053,Petrol,First,15.1,1196.0,73.0,391000.0
112,Tata,Tata Nano Twist,2014,25500,Petrol,First,25.4,624.0,37.5,215000.0
113,BMW,BMW 3 Series,2015,56087,Diesel,First,22.69,1995.0,190.0,2075000.0
114,Honda,Honda Civic 2006-2010,2010,71088,Petrol,First,13.5,1799.0,130.0,335000.0
115,Toyota,Toyota Innova 2.5,2014,55000,Diesel,First,12.99,2494.0,100.6,1111000.0
116,Volvo,Volvo V40 Cross,2014,32700,Diesel,First,23.3,1984.0,150.0,2000000.0
117,Nissan,Nissan Micra XV,2016,39882,Petrol,First,19.15,1198.0,75.94,655000.0
118,BMW,BMW 5 Series,2009,128000,Petrol,First,10.8,2497.0,215.0,700000.0
119,Maruti,Maruti Vitara Brezza,2016,55000,Diesel,First,24.3,1248.0,88.5,750000.0
120,Hyundai,Hyundai Santro Xing,2005,102000,Petrol,Second,17.0,1086.0,113.25304969366827,85000.0
121,Mercedes-Benz,Mercedes-Benz B Class,2014,53753,Diesel,Second,15.0,2143.0,107.3,1675000.0
122,Hyundai,Hyundai Verna CRDi,2018,10250,Diesel,First,22.0,1582.0,126.2,1095000.0
123,Maruti,Maruti Wagon R,2011,43874,Petrol,First,18.9,998.0,67.1,245000.00000000003
124,Tata,Tata Nano XTA,2017,32684,Petrol,First,21.9,624.0,37.48,323000.0
125,Mahindra,Mahindra Scorpio VLX,2014,42000,Diesel,First,12.05,2179.0,120.0,775000.0
126,Mercedes-Benz,Mercedes-Benz New C-Class,2009,28352,Petrol,First,11.7,1796.0,178.0,935000.0
127,Maruti,Maruti Wagon R,2013,89900,CNG,First,26.6,998.0,58.16,325000.0
128,Honda,Honda CR-V 2.4,2007,47700,Petrol,Second,10.8,2354.0,152.0,525000.0
129,Volkswagen,Volkswagen Vento 1.5,2015,55000,Diesel,First,21.21,1498.0,103.2,725000.0
130,Maruti,Maruti Ciaz VXi,2017,44285,Petrol,First,20.73,1373.0,91.1,747000.0
131,Mahindra,Mahindra XUV500 AT,2016,54000,Diesel,First,16.0,2179.0,140.0,1325000.0
132,Maruti,Maruti Ritz VXI,2016,30232,Petrol,First,21.1,1197.0,85.8,581000.0
133,Maruti,Maruti Alto K10,2014,88500,Petrol,First,24.07,998.0,67.1,260000.0
134,Mercedes-Benz,Mercedes-Benz SLC 43,2017,13372,Petrol,First,19.0,2996.0,362.07,5400000.0
135,Hyundai,Hyundai Verna VTVT,2019,12645,Petrol,First,17.0,1591.0,121.3,1150000.0
136,Maruti,Maruti Alto LXi,2010,94385,Petrol,Second,19.7,796.0,46.3,160000.0
137,BMW,BMW 1 Series,2015,31821,Diesel,First,20.58,1995.0,143.0,1722000.0
138,Honda,Honda Jazz 1.2,2015,12000,Petrol,First,19.0,1199.0,88.7,600000.0
139,Honda,Honda Civic 2006-2010,2012,88578,Petrol,First,13.5,1799.0,130.0,395000.0
140,Mercedes-Benz,Mercedes-Benz New C-Class,2014,44965,Diesel,First,19.27,2143.0,170.0,1795000.0
141,Honda,Honda Amaze SX,2014,45044,Diesel,First,25.8,1498.0,98.6,370000.0
142,Maruti,Maruti Swift VVT,2016,34204,Petrol,First,22.0,1197.0,81.8,543000.0
143,Hyundai,Hyundai Santro Xing,2008,80759,Petrol,Third,17.0,1086.0,113.25304969366827,167000.0
144,Toyota,Toyota Fortuner 3.0,2012,91235,Diesel,First,11.5,2982.0,171.0,1349000.0
145,Chevrolet,Chevrolet Beat LT,2014,38800,Petrol,First,18.6,1199.0,76.8,285000.0
146,Skoda,Skoda Rapid 1.5,2013,83000,Diesel,First,21.14,1498.0,103.52,475000.0
147,Maruti,Maruti Ciaz 1.4,2018,41283,Petrol,First,20.73,1373.0,91.1,990000.0
148,Audi,Audi RS5 Coupe,2013,23000,Petrol,First,11.05,2894.0,444.0,3700000.0
149,BMW,BMW 3 Series,2014,48000,Diesel,First,21.76,1995.0,190.0,2650000.0
150,Audi,Audi A4 2.0,2015,48214,Diesel,First,17.11,1968.0,174.33,2332000.0
151,Maruti,Maruti Swift VDI,2016,35000,Diesel,First,22.9,1248.0,74.0,625000.0
152,Mercedes-Benz,Mercedes-Benz S Class,2010,35277,Petrol,First,7.81,5461.0,362.9,3000000.0
153,Skoda,Skoda Rapid 1.5,2016,54620,Diesel,First,21.66,1498.0,103.52,986000.0
154,Skoda,Skoda Superb Elegance,2012,136997,Diesel,First,17.2,1968.0,138.1,850000.0
155,Hyundai,Hyundai EON Magna,2019,14322,Petrol,First,21.1,814.0,55.2,423000.00000000006
156,Volkswagen,Volkswagen Polo Diesel,2012,65634,Diesel,First,22.07,1199.0,73.9,350000.0
157,Datsun,Datsun GO NXT,2016,6000,Petrol,First,20.63,1198.0,67.06,250000.0
158,Honda,Honda Brio S,2013,33280,Petrol,First,19.4,1198.0,86.8,239000.0
159,Mercedes-Benz,Mercedes-Benz B Class,2013,29000,Petrol,First,14.8,1595.0,120.7,1125000.0
160,Honda,Honda City i,2015,42831,Diesel,First,26.0,1498.0,98.6,711000.0
161,Toyota,Toyota Innova 2.5,2016,90000,Diesel,First,12.99,2494.0,100.6,1090000.0
162,Maruti,Maruti Swift VXI,2017,24005,Petrol,First,20.4,1197.0,81.8,620000.0
163,Mahindra,Mahindra XUV500 W8,2012,32792,Diesel,First,15.1,2179.0,140.0,790000.0
164,Ford,Ford Ecosport 1.5,2014,147898,Diesel,First,22.7,1498.0,89.84,442000.0
165,Toyota,Toyota Fortuner 4x2,2012,131765,Diesel,First,13.0,2982.0,168.5,1350000.0
166,Volkswagen,Volkswagen Vento 1.5,2013,65000,Diesel,First,21.5,1498.0,108.5,625000.0
167,Ford,Ford Figo Diesel,2010,66123,Diesel,Second,20.0,1399.0,68.0,210000.0
168,BMW,BMW X5 xDrive,2015,41000,Diesel,First,15.3,2993.0,258.0,4500000.0
169,Mercedes-Benz,Mercedes-Benz New C-Class,2017,23550,Diesel,First,19.27,2143.0,167.62,3365999.9999999995
170,Honda,Honda Brio V,2012,45000,Petrol,Second,19.4,1198.0,86.8,365000.0
171,Hyundai,Hyundai i10 Magna,2013,60000,Petrol,First,20.36,1197.0,78.9,275000.0
172,Mercedes-Benz,Mercedes-Benz GLC 220,2016,44414,Diesel,First,17.9,2143.0,170.0,4250000.0
173,Hyundai,Hyundai Grand i10,2019,1000,Petrol,First,18.9,1197.0,81.86,650000.0
174,Audi,Audi A6 2011-2015,2012,62500,Diesel,Second,17.68,1968.0,174.33,1900000.0
175,Volkswagen,Volkswagen Vento Petrol,2013,21000,Petrol,Second,14.4,1598.0,103.6,445000.0
176,Mini,Mini Countryman Cooper,2017,8525,Diesel,Second,16.6,1998.0,112.0,2300000.0
177,Hyundai,Hyundai i20 Asta,2014,29000,Diesel,First,22.54,1396.0,88.73,835000.0
178,Audi,Audi A6 2011-2015,2014,40000,Diesel,First,17.68,1968.0,174.33,2295000.0
179,Chevrolet,Chevrolet Beat Diesel,2012,88000,Diesel,First,25.44,936.0,57.6,150000.0
180,Skoda,Skoda Superb Elegance,2012,53537,Petrol,First,13.7,1798.0,157.75,689000.0
181,Ford,Ford Fiesta 1.4,2006,216000,Diesel,Second,17.8,1399.0,68.0,145000.0
182,BMW,BMW 5 Series,2014,51000,Diesel,First,22.48,1995.0,190.0,3350000.0
183,Chevrolet,Chevrolet Optra Magnum,2007,118500,Petrol,First,12.9,1598.0,102.5,125000.0
184,Volkswagen,Volkswagen Polo Diesel,2012,63000,Diesel,First,22.07,1199.0,73.9,420000.0
185,Renault,Renault Lodgy 110PS,2015,25000,Diesel,First,19.98,1461.0,108.5,675000.0
186,Mercedes-Benz,Mercedes-Benz E-Class E250,2014,37382,Diesel,First,13.0,2143.0,201.1,3200000.0
187,Maruti,Maruti Baleno Alpha,2017,24773,Petrol,First,21.4,1197.0,83.1,750000.0
188,Hyundai,Hyundai Verna 1.6,2012,62000,Diesel,First,22.32,1582.0,126.32,459999.99999999994
189,Hyundai,Hyundai i10 Magna,2017,52340,Petrol,First,19.81,1086.0,68.05,404000.0
190,Mahindra,Mahindra Scorpio 1.99,2016,56739,Diesel,First,15.4,1997.0,120.0,1031000.0
191,Land,Land Rover Range,2018,36091,Diesel,First,12.7,2179.0,187.7,5576000.0
192,Ford,Ford Figo Diesel,2010,120000,Diesel,First,20.0,1399.0,68.0,260000.0
193,Maruti,Maruti Ertiga ZDI,2016,33000,Diesel,First,25.47,1248.0,88.5,850000.0
194,Honda,Honda City 1.5,2007,60006,Petrol,First,0.0,1621.276449941501,113.25304969366827,295000.0
195,Honda,Honda Amaze S,2014,52000,Diesel,First,25.8,1498.0,98.6,350000.0
196,Hyundai,Hyundai i10 Magna,2015,43571,Petrol,First,20.36,1197.0,78.9,355000.0
197,Honda,Honda Amaze S,2013,50000,Diesel,First,25.8,1498.0,98.6,325000.0
198,Skoda,Skoda Laura Ambiente,2008,113000,Diesel,First,17.5,1896.0,106.0,450000.0
199,Renault,Renault Duster 85PS,2014,90000,Diesel,First,19.87,1461.0,83.8,535000.0
200,Mahindra,Mahindra NuvoSport N6,2017,29000,Diesel,Second,17.45,1493.0,100.0,650000.0
201,Maruti,Maruti Vitara Brezza,2016,20000,Diesel,First,24.3,1248.0,88.5,900000.0
202,Hyundai,Hyundai i20 Asta,2016,61012,Petrol,First,18.6,1197.0,81.83,600000.0
203,Skoda,Skoda Fabia 1.4,2009,87459,Petrol,First,14.7,1390.0,85.0,275000.0
204,Tata,Tata Indigo eCS,2010,70500,Petrol,First,15.64,1193.0,64.1,150000.0
205,Audi,Audi Q3 2012-2015,2015,64103,Diesel,First,15.73,1968.0,174.33,1989999.9999999998
206,Skoda,Skoda Octavia Elegance,2014,76000,Petrol,First,14.7,1798.0,177.5,1000000.0
207,Toyota,Toyota Etios Liva,2014,104000,Diesel,First,23.59,1364.0,67.06,300000.0
208,Maruti,Maruti Swift 1.3,2010,42001,Petrol,First,16.1,1621.276449941501,113.25304969366827,211000.0
209,Mercedes-Benz,Mercedes-Benz B Class,2014,37245,Petrol,First,14.8,1595.0,120.7,1196000.0
210,Honda,Honda Amaze S,2013,45000,Diesel,First,27.4,1498.0,98.6,325000.0
211,Hyundai,Hyundai Verna 1.6,2012,117837,Diesel,Second,22.32,1582.0,126.32,475000.0
212,Renault,Renault Duster 85PS,2014,30000,Diesel,First,20.46,1461.0,83.8,595000.0
213,Hyundai,Hyundai Creta 1.6,2015,27057,Petrol,Second,15.29,1591.0,121.3,815000.0
214,Maruti,Maruti Wagon R,2016,8500,Petrol,First,20.51,998.0,67.0,422000.0
215,Mercedes-Benz,Mercedes-Benz New C-Class,2010,30500,Petrol,First,11.74,1796.0,186.0,1050000.0
216,Audi,Audi A8 L,2012,56000,Diesel,First,11.8,2967.0,246.7,4500000.0
217,Hyundai,Hyundai i10 Magna,2012,44000,Petrol,Second,19.81,1086.0,68.05,290000.0
218,Skoda,Skoda Rapid 1.6,2017,10500,Petrol,First,14.3,1598.0,103.52,890000.0
219,Skoda,Skoda Superb Style,2017,26000,Petrol,First,14.67,1798.0,177.46,2600000.0
220,Hyundai,Hyundai i20 Active,2018,25166,Petrol,First,17.19,1197.0,81.86,822000.0000000001
221,Honda,Honda Amaze VX,2014,64000,Diesel,Second,25.8,1498.0,98.6,350000.0
222,Maruti,Maruti Wagon R,2004,61000,Petrol,Second,18.9,998.0,67.1,125000.0
223,Mahindra,Mahindra Verito 1.5,2013,107000,Diesel,First,21.03,1461.0,65.0,370000.0
224,Mercedes-Benz,Mercedes-Benz New C-Class,2018,29161,Diesel,First,19.27,2143.0,167.62,3940999.9999999995
225,Maruti,Maruti Wagon R,2013,32000,Petrol,First,22.5,998.0,67.04,265000.0
226,Nissan,Nissan Terrano XV,2015,46173,Diesel,Second,19.01,1461.0,108.5,892000.0
227,Maruti,Maruti Swift VDI,2013,47000,Diesel,First,17.8,1248.0,113.25304969366827,409999.99999999994
228,Mini,Mini Cooper Convertible,2017,26327,Petrol,First,16.82,1998.0,189.08,3567000.0
229,Ford,Ford Figo Diesel,2015,70436,Diesel,First,0.0,1498.0,99.0,360000.0
230,Tata,Tata Indica V2,2007,200000,Diesel,Second,17.2,1396.0,53.5,85000.0
231,Chevrolet,Chevrolet Beat LT,2016,60813,Petrol,Second,18.6,1199.0,76.8,332000.0
232,Volkswagen,Volkswagen Polo Diesel,2012,45000,Diesel,First,22.07,1199.0,73.9,360000.0
233,Maruti,Maruti Swift ZDi,2016,64000,Diesel,First,22.9,1248.0,74.0,680000.0
234,Ford,Ford Figo Diesel,2012,41284,Diesel,First,20.0,1399.0,68.05,250000.0
235,Toyota,Toyota Innova Crysta,2019,14165,Diesel,First,11.36,2755.0,171.5,1964000.0
236,Hyundai,Hyundai Santa Fe,2011,67000,Diesel,Second,11.72,2199.0,194.3,700000.0
237,Honda,Honda City i-VTEC,2011,32572,Petrol,First,17.4,1497.0,117.3,387000.0
238,Hyundai,Hyundai i20 1.2,2018,14960,Petrol,First,18.6,1197.0,81.83,627000.0
239,Mercedes-Benz,Mercedes-Benz New C-Class,2015,55980,Diesel,First,19.27,2143.0,167.62,1812000.0
240,Chevrolet,Chevrolet Beat Diesel,2013,74000,Diesel,First,25.44,936.0,57.6,265000.0
241,Hyundai,Hyundai i20 Sportz,2015,56847,Diesel,First,22.54,1396.0,88.73,720000.0
242,Toyota,Toyota Innova 2.5,2015,121374,Diesel,First,12.99,2494.0,100.6,1430000.0
243,Maruti,Maruti Ertiga VDI,2013,52000,Diesel,First,20.77,1248.0,88.76,690000.0
244,Toyota,Toyota Innova 2.5,2014,118000,Diesel,First,12.8,2494.0,102.0,1075000.0
245,Hyundai,Hyundai Santro Xing,2007,72000,Petrol,Third,17.0,1086.0,113.25304969366827,95000.0
246,Honda,Honda City i,2016,33915,Petrol,First,17.8,1497.0,117.3,809000.0
247,BMW,BMW X1 sDrive20d,2014,82002,Diesel,First,17.05,1995.0,184.0,1850000.0
248,Hyundai,Hyundai Grand i10,2017,33000,Diesel,First,24.0,1120.0,70.0,475000.0
249,Maruti,Maruti Ciaz 1.3,2016,34000,Diesel,First,28.09,1248.0,88.5,844999.9999999999
250,Skoda,Skoda Rapid Leisure,2012,55000,Diesel,First,20.5,1598.0,103.6,350000.0
251,Hyundai,Hyundai Accent CRDi,2006,160538,Diesel,First,13.1,1493.0,82.0,180000.0
252,Volkswagen,Volkswagen Polo GT,2014,60000,Diesel,Second,19.91,1498.0,103.6,370000.0
253,Honda,Honda Jazz 1.2,2017,49575,Petrol,First,18.7,1199.0,88.7,717000.0
254,Hyundai,Hyundai i10 Era,2010,83000,Petrol,First,19.81,1086.0,68.05,175000.0
255,Hyundai,Hyundai Tucson 2.0,2018,51346,Diesel,First,16.38,1995.0,183.0,2199000.0
256,Toyota,Toyota Innova Crysta,2017,43000,Diesel,First,13.68,2393.0,147.8,1864999.9999999998
257,Maruti,Maruti Omni MPI,2011,35000,Petrol,Third,19.7,796.0,35.0,185000.0
258,Maruti,Maruti Swift VXI,2017,27872,Petrol,Second,20.4,1197.0,81.8,595000.0
259,Hyundai,Hyundai Grand i10,2014,16514,Petrol,First,18.9,1197.0,82.0,375000.0
260,Maruti,Maruti Swift VDI,2012,120000,Diesel,First,22.9,1248.0,74.0,375000.0
261,Hyundai,Hyundai Verna CRDi,2008,143275,Diesel,First,22.0,1582.0,126.2,260000.0
262,Hyundai,Hyundai Santro Xing,2006,99000,Petrol,First,0.0,1086.0,113.25304969366827,175000.0
263,Hyundai,Hyundai i20 1.2,2010,52000,Petrol,First,17.0,1197.0,80.0,280000.0
264,Mercedes-Benz,Mercedes-Benz GLE 350d,2017,29819,Diesel,First,11.57,2987.0,254.79,6129000.0
265,Mercedes-Benz,Mercedes-Benz New C-Class,2014,57000,Diesel,Second,15.8,2148.0,170.0,1800000.0
266,Maruti,Maruti Ritz ZDi,2014,88500,Diesel,First,23.2,1248.0,73.94,434999.99999999994
267,Hyundai,Hyundai Creta 1.6,2016,28000,Diesel,First,19.67,1582.0,126.2,1375000.0
268,Maruti,Maruti A-Star Vxi,2010,67000,Petrol,First,19.0,998.0,66.1,200000.0
269,Renault,Renault Duster 110PS,2016,26000,Diesel,First,19.64,1461.0,108.45,1000000.0
270,Fiat,Fiat Grande Punto,2010,120000,Diesel,First,17.8,1248.0,76.0,165000.0
